"","Address","Number","Street","Number.of.People","Bathrooms","Beds.Average","Full.Beds","Quiet","Fire.Code.Capacity","Minutes.to.Fountain","Minutes.to.Olin","Minutes.to.Gym","Reserve","ADA.Compliance","New","Duplex","Link","X"
"83","277 Pine Street ","277","Pine Street ",4,1,2,4,"NO",19,3,2,4,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/277_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/277_pine.htm</a>",NA
"84","9 Vine Street","9","Vine Street",4,2,2,4,"NO",21,3,5,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/9_vine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/9_vine.htm</a>",NA
"85","4 Warren Street","4","Warren Street",4,1,2,4,"NO",13,3,5,1,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/4_warren.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/4_warren.htm</a>",NA
"86","14A Warren Street","14A","Warren Street",4,1.5,2,4,"NO",33,3,6,1,"NO","YES","YES","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/14_warren_a.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/14_warren_a.htm</a>",NA
"87","264B Court Street","264B","Court Street",5,1.5,2,5,"NO",26,13,9,13,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/264 Court street.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/264 Court street.htm</a>",NA
"88","182 Cross Street","182","Cross Street",5,1,2,5,"NO",24,5,6,3,"NO","NO","NO","NO","<a href='https://www.wesleyan.edu/reslife/housing/woodframe/182_cross.htm' target='_blank'>https://www.wesleyan.edu/reslife/housing/woodframe/182_cross.htm</a>",NA
"89","115B Cross Street","115B","Cross Street",5,1.5,1.8,4,"NO",21,2,3,2,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/115 Cross Street.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/115 Cross Street.htm</a>",NA
"90","30 Fountain Avenue","30","Fountain Avenue",5,2,2,5,"NO",15,1,5,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/30_fountain.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/30_fountain.htm</a>",NA
"91","19A Fountain Avenue","19A","Fountain Avenue",5,2,2,5,"NO",20,1,6,3,"NO","YES","YES","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/19_fountain_a.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/19_fountain_a.htm</a>",NA
"92","19B Fountain Avenue","19B","Fountain Avenue",5,2,2,5,"NO",17,1,6,3,"NO","YES","YES","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/19_fountain_b.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/19_fountain_b.htm</a>",NA
"93","19C Fountain Avenue","19C","Fountain Avenue",5,2,2,5,"NO",21,1,6,3,"NO","YES","YES","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/19_fountain_c.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/19_fountain_c.htm</a>",NA
"94","20A Fountain Avenue","20A","Fountain Avenue",5,2,2,5,"NO",23,1,6,3,"NO","YES","YES","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/20_fountain_a.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/20_fountain_a.htm</a>",NA
"95","20B Fountain Avenue","20B","Fountain Avenue",5,2,2,5,"NO",23,1,6,3,"NO","YES","YES","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/20_fountain_b.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/20_fountain_b.htm</a>",NA
"96","20C Fountain Avenue","20C","Fountain Avenue",5,2,2,5,"NO",23,1,6,3,"NO","YES","YES","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/20_fountain_c.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/20_fountain_c.htm</a>",NA
"97","25A Fountain Avenue","25A","Fountain Avenue",5,2,2,5,"NO",25,1,5,3,"NO","YES","YES","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/25_fountain_a.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/25_fountain_a.htm</a>",NA
"98","25B Fountain Avenue","25B","Fountain Avenue",5,2,2,5,"NO",25,1,5,3,"NO","YES","YES","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/25_fountain_b.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/25_fountain_b.htm</a>",NA
"99","124A High Street","124A","High Street",5,1,2,5,"NO",26,10,6,10,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/124 High.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/124 High.htm</a>",NA
"100","72 High Street","72","High Street",5,2,1,0,"NO",19,13,10,13,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/72_high.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/72_high.htm</a>",NA
"101","134 Knowles Ave","134","Knowles Ave",5,1.5,2,5,"NO",27,6,8,4,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/134 Knowles.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/134 Knowles.htm</a>",NA
"102","29 Miles Avenue","29","Miles Avenue",5,2,1.8,4,"NO",21,4,6,5,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/29_miles.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/29_miles.htm</a>",NA
"103","65A Pearl Street","65A","Pearl Street",5,1,1,0,"NO",22,16,12,16,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/apartments/65_pearl.htm' target='_blank'>http://wesleyan.edu/reslife/housing/apartments/65_pearl.htm</a>",NA
"104","65B Pearl Street","65B","Pearl Street",5,1,1,0,"NO",22,16,12,16,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/apartments/65_pearl.htm' target='_blank'>http://wesleyan.edu/reslife/housing/apartments/65_pearl.htm</a>",NA
"105","65C Pearl Street","65C","Pearl Street",5,1,1,0,"NO",22,16,12,16,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/apartments/65_pearl.htm' target='_blank'>http://wesleyan.edu/reslife/housing/apartments/65_pearl.htm</a>",NA
"106","231A Pine Street","231A","Pine Street",5,2,2,5,"NO",25,4,4,5,"NO","YES","YES","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/231_pine_a.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/231_pine_a.htm</a>",NA
"107","231B Pine Street","231B","Pine Street",5,2,2,5,"NO",25,4,4,5,"NO","YES","YES","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/231_pine_b.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/231_pine_b.htm</a>",NA
"108","231C Pine Street","231C","Pine Street",5,2,2,5,"NO",25,4,4,5,"NO","YES","YES","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/231_pine_c.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/231_pine_c.htm</a>",NA
"109","239A Pine Street","239A","Pine Street",5,2,1.8,4,"NO",19,4,4,5,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/239_pine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/239_pine.htm</a>",NA
"110","7 Vine Street","7","Vine Street",5,2,2,5,"NO",18,3,4,2,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/7_vine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/7_vine.htm</a>",NA
"111","11 Vine Street","11","Vine Street",5,2,2,5,"NO",19,3,5,3,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/11_vine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/11_vine.htm</a>",NA
"112","1A Vine Street","1A","Vine Street",5,1,1,0,"NO",20,3,4,2,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/apartments/1_vine.htm' target='_blank'>http://wesleyan.edu/reslife/housing/apartments/1_vine.htm</a>",NA
