"","Address","Number","Street","Number.of.People","Bathrooms","Beds.Average","Full.Beds","Quiet","Fire.Code.Capacity","Minutes.to.Fountain","Minutes.to.Olin","Minutes.to.Gym","Reserve","ADA.Compliance","New","Duplex","Link","X"
"157","72A Home Avenue","72A","Home Avenue",5,1,2,5,"YES",21,7,3,8,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/72_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/72_home.htm</a>",NA
"158","72B Home Avenue","72B","Home Avenue",5,1,1.4,2,"YES",21,7,3,8,"NO","NO","NO","YES","<a href='http://wesleyan.edu/reslife/housing/woodframe/72_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/72_home.htm</a>",NA
"159","76 Lawn Avenue","76","Lawn Avenue",5,2,2,5,"YES",28,6,3,6,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/76_lawn.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/76_lawn.htm</a>",NA
"160","80 Lawn Avenue","80","Lawn Avenue",5,2,1.8,4,"YES",17,5,3,6,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/80_lawn.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/80_lawn.htm</a>",NA
"161","49 Brainerd Avenue","49","Brainerd Avenue",6,1.5,2,6,"YES",23,6,4,7,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/49 Brainerd Avenue.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/49 Brainerd Avenue.htm</a>",NA
"162","35 Home Avenue","35","Home Avenue",6,2,2,6,"YES",20,8,6,9,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/35_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/35_home.htm</a>",NA
"163","44 Home Avenue","44","Home Avenue",6,1.5,2,6,"YES",23,8,5,9,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/44_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/44_home.htm</a>",NA
"164","60 Home Avenue","60","Home Avenue",6,1.5,2,6,"YES",14,8,4,9,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/60_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/60_home.htm</a>",NA
"165","66 Home Avenue","66","Home Avenue",6,1.5,1.83,5,"YES",25,8,4,8,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/66_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/66_home.htm</a>",NA
"166","88 Home Avenue","88","Home Avenue",6,1.5,2,6,"YES",34,7,3,7,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/88_home.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/88_home.htm</a>",NA
"167","71 Lawn Avenue","71","Lawn Avenue",6,1.5,2,6,"YES",18,6,3,7,"NO","NO","NO","NO","<a href='http://wesleyan.edu/reslife/housing/woodframe/71_lawn.htm' target='_blank'>http://wesleyan.edu/reslife/housing/woodframe/71_lawn.htm</a>",NA
